Word,Alternative.spelling,Freq_pm,Dom_PoS_SUBTLEX,Nletters,Nphon,Nsyll,Lemma_highest_PoS,AoA_Kup,Perc_known,AoA_Kup_lem,Perc_known_lem,AoA_Bird_lem,AoA_Bristol_lem,AoA_Cort_lem,AoA_Schock,mid_level_category
tangles,tangles,0.14,Noun,7,7,2,tangle,,,6.32,1.0,,,,7.19,unknown_noun
tangling,tangling,0.1,Verb,8,7,2,tangle,,,6.32,1.0,,,,7.19,stative
tangos,tangos,0.1,Noun,6,6,2,tango,,,10.67,1.0,,10.17,,8.96,unknown_noun
tangs,tangs,0.1,Noun,5,4,1,tang,,,9.11,1.0,,,,,unknown_noun
tanked,tanked,0.94,Verb,6,5,1,tank,,,7.17,1.0,,6.01,6.64,,possession
tankers,tankers,0.49,Noun,7,6,2,tanker,,,9.05,0.95,,,,,unknown_noun
tanking,tanking,0.1,Verb,7,6,2,tank,,,7.17,1.0,,6.01,6.64,,possession
tanks,tanks,9.92,Noun,5,5,1,tank,,,7.17,1.0,,6.01,6.64,,unknown_noun
tanneries,tanneries,0.04,Noun,9,7,3,tannery,,,13.4,0.83,,,,,unknown_noun
tans,tans,0.16,Noun,4,4,1,tan,,,7.05,1.0,7.82,,6.8,,unknown_noun
tantrums,tantrums,0.47,Noun,8,8,2,tantrum,,,6.65,1.0,,,,6.54,unknown_noun
taped,taped,4.27,Verb,5,4,1,tape,,,4.42,1.0,,8.09,5.06,,communication
tapered,tapered,0.22,Verb,7,5,2,taper,,,10.7,0.91,,11.39,,,change
tapering,tapering,0.1,Verb,8,6,3,taper,,,10.7,0.91,,11.39,,,change
tapers,tapers,0.08,Noun,6,5,2,taper,,,10.7,0.91,,11.39,,,unknown_noun
tapes,tapes,13.02,Noun,5,4,1,tape,,,4.42,1.0,,8.09,5.06,,unknown_noun
tapestries,tapestries,0.31,Noun,10,9,3,tapestry,,,10.95,0.95,,,,,unknown_noun
tapeworms,tapeworms,0.04,Noun,9,7,2,tapeworm,,,11.11,1.0,,,,,unknown_noun
taping,taping,2.06,Verb,6,5,2,tape,,,4.42,1.0,,8.09,5.06,,communication
tapped,tapped,4.47,Verb,6,4,1,tap,,,5.84,1.0,6.41,4.62,4.85,,communication
tappers,tappers,0.02,Noun,7,5,2,tapper,,,7.82,0.89,,,,,unknown_noun
tapping,tapping,3.22,Verb,7,5,2,tap,,,5.84,1.0,6.41,4.62,4.85,,communication
taprooms,taprooms,0.02,Noun,8,7,2,taproom,,,15.33,0.75,,,,,unknown_noun
tarantulas,tarantulas,0.14,Noun,10,10,4,tarantula,,,7.76,0.89,,,,,unknown_noun
targeted,targeted,2.16,Verb,8,8,3,target,,,7.58,1.0,,,,7.19,competition
targeting,targeting,2.24,Verb,9,8,3,target,,,7.58,1.0,,,,7.19,competition
targets,targets,6.67,Noun,7,7,2,target,,,7.58,1.0,,,,7.19,unknown_noun
tariffs,tariffs,0.18,Noun,7,6,2,tariff,,,13.95,1.0,,12.79,,,unknown_noun
tarnished,tarnished,0.37,Verb,9,7,2,tarnish,,,11.39,1.0,,,,,contact
tarots,tarots,0.02,Noun,6,5,2,tarot,,,11.94,1.0,,,,,unknown_noun
tarps,tarps,0.14,Noun,5,5,1,tarp,,,8.58,1.0,,,,,unknown_noun
tarred,tarred,0.29,Verb,6,4,1,tar,,,7.22,0.95,,,7.93,,contact
tarring,tarring,0.12,Verb,7,5,2,tar,,,7.22,0.95,,,7.93,,contact
tarrying,tarrying,0.06,Verb,8,6,3,tarry,,,11.33,0.79,,,,,stative
tars,tars,0.08,Verb,4,4,1,tar,,,7.22,0.95,,,7.93,,contact
tartans,tartans,0.02,Noun,7,7,2,tartan,,,12.31,0.68,,,,,unknown_noun
tartars,tartars,0.75,Noun,7,6,2,tartar,,,9.94,1.0,,,,10.6,unknown_noun
tarts,tarts,1.12,Noun,5,5,1,tart,,,8.26,1.0,,,8.4,,unknown_noun
tasked,tasked,0.33,Verb,6,5,1,task,,,7.89,1.0,,7.83,8.08,,social
tasks,tasks,1.67,Noun,5,5,1,task,,,7.89,1.0,,7.83,8.08,,unknown_noun
tassels,tassels,0.53,Noun,7,6,2,tassel,,,9.35,1.0,,,,11.49,unknown_noun
tasted,tasted,5.75,Verb,6,6,2,taste,,,4.26,1.0,5.24,,4.32,,consumption
tastes,tastes,11.98,Noun,6,5,1,taste,,,4.26,1.0,5.24,,4.32,,unknown_noun
tastier,tastier,0.1,Adjective,7,6,3,tasty,,,5.4,1.0,,,,,quality
tastiest,tastiest,0.04,Adjective,8,8,3,tasty,,,5.4,1.0,,,,,quality
tats,tats,0.25,Noun,4,4,1,tat,,,11.67,0.63,,,,,unknown_noun
tattled,tattled,0.08,Verb,7,6,2,tattle,,,6.26,1.0,,,,,communication
tattletales,tattletales,0.04,Noun,11,9,3,tattletale,,,5.72,1.0,,,,,unknown_noun
tattling,tattling,0.1,Verb,8,6,2,tattle,,,6.26,1.0,,,,,communication
tattooed,tattooed,2.59,Verb,8,5,2,tattoo,,,7.79,1.0,,,,8.53,creation
tattooing,tattooing,0.29,Verb,9,6,3,tattoo,,,7.79,1.0,,,,8.53,creation
tattoos,tattoos,3.69,Noun,7,5,2,tattoo,,,7.79,1.0,,,,8.53,unknown_noun
taught,taught,43.84,Verb,6,3,1,teach,,,4.67,1.0,5.62,5.82,5.06,,communication
taunted,taunted,0.24,Verb,7,6,2,taunt,,,8.06,1.0,,,8.96,,communication
taunting,taunting,1.02,Verb,8,6,2,taunt,,,8.06,1.0,,,8.96,,communication
taunts,taunts,0.16,Verb,6,5,1,taunt,,,8.06,1.0,,,8.96,,communication
taverns,taverns,0.2,Noun,7,6,2,tavern,,,8.84,1.0,,,,11.29,unknown_noun
taxations,taxations,0.02,Noun,9,9,3,taxation,,,11.42,1.0,,,,,unknown_noun
taxed,taxed,0.2,Verb,5,5,1,tax,,,8.94,1.0,10.46,9.28,7.77,,possession
taxes,taxes,9.75,Noun,5,6,2,tax,,,8.94,1.0,10.46,9.28,7.77,,unknown_noun
taxicabs,taxicabs,0.18,Noun,8,9,3,taxicab,,,7.89,0.95,,,,,unknown_noun
taxied,taxied,0.1,Verb,6,6,2,taxi,,,7.58,1.0,8.19,,,7.11,motion
taxing,taxing,0.29,Verb,6,6,2,tax,,,8.94,1.0,10.46,9.28,7.77,,possession
taxis,taxis,1.02,Noun,5,6,2,taxi,,,7.58,1.0,8.19,,,7.11,unknown_noun
taxmen,taxmen,0.04,Noun,6,7,2,taxman,,,12.71,0.94,,,,,unknown_noun
taxpayers,taxpayers,1.65,Noun,9,8,3,taxpayer,,,10.35,1.0,,,,,unknown_noun
teabags,teabags,0.04,Noun,7,6,2,teabag,,,6.67,1.0,,,,,unknown_noun
teachers,teachers,11.39,Noun,8,5,2,teacher,,,4.55,1.0,,5.09,,4.28,unknown_noun
teaches,teaches,5.2,Verb,7,5,2,teach,,,4.67,1.0,5.62,5.82,5.06,,communication
teachings,teachings,1.43,Noun,9,6,2,teaching,,,5.25,1.0,6.11,,,,unknown_noun
teacups,teacups,0.22,Noun,7,6,2,teacup,,,5.39,1.0,,,,,unknown_noun
teals,teals,0.02,Noun,5,4,1,teal,,,9.42,1.0,,,8.61,,unknown_noun
teamed,teamed,0.65,Verb,6,4,1,team,,,6.0,1.0,,6.01,5.61,,competition
teaming,teaming,0.41,Verb,7,5,2,team,,,6.0,1.0,,6.01,5.61,,competition
teammates,teammates,1.49,Noun,9,7,2,teammate,,,6.17,1.0,,,,,unknown_noun
teams,teams,15.49,Noun,5,4,1,team,,,6.0,1.0,,6.01,5.61,,unknown_noun
teamsters,teamsters,0.51,Noun,9,7,2,teamster,,,12.56,0.95,,,,,unknown_noun
teapots,teapots,0.1,Noun,7,6,2,teapot,,,6.22,1.0,,,,,unknown_noun
teardrops,teardrops,0.59,Noun,9,8,3,teardrop,,,6.06,1.0,,,,,unknown_noun
tearing,tearing,6.41,Verb,7,5,2,tear,,,4.89,1.0,5.64,5.41,4.99,,contact
tearjerkers,tearjerkers,0.04,Noun,11,8,4,tearjerker,,,11.06,1.0,,,,,unknown_noun
tearooms,tearooms,0.02,Noun,8,6,2,tearoom,,,10.63,1.0,,,,,unknown_noun
tears,tears,22.35,Noun,5,4,1,tear,,,4.89,1.0,5.64,5.41,4.99,,unknown_noun
teas,teas,0.51,Noun,4,3,1,tea,,,5.47,1.0,,,5.46,,unknown_noun
teased,teased,0.94,Verb,6,4,1,tease,,,5.11,1.0,,,6.26,,communication
teasers,teasers,0.08,Noun,7,5,2,teaser,,,8.95,1.0,,,,,unknown_noun
teases,teases,0.24,Verb,6,5,2,tease,,,5.11,1.0,,,6.26,,communication
teasing,teasing,4.22,Verb,7,5,2,tease,,,5.11,1.0,,,6.26,,communication
teaspoons,teaspoons,0.33,Noun,9,7,2,teaspoon,,,5.26,1.0,,,,,unknown_noun
teats,teats,0.37,Noun,5,4,1,teat,,,11.94,0.94,,,,,unknown_noun
techies,techies,0.08,Noun,7,5,2,techie,,,16.15,0.95,,,,,unknown_noun
technicalities,technicalities,0.45,Noun,14,12,5,technicality,,,13.32,1.0,,11.9,,,unknown_noun
technicians,technicians,1.39,Noun,11,9,3,technician,,,8.82,0.94,,,,,unknown_noun
techniques,techniques,3.47,Noun,10,7,2,technique,,,11.9,1.0,,,,10.04,unknown_noun
technocrats,technocrats,0.02,Noun,11,10,3,technocrat,,,15.54,0.65,,,,,unknown_noun
technologies,technologies,1.39,Noun,12,10,4,technology,,,9.06,1.0,,,,,unknown_noun
techs,techs,0.53,Noun,5,4,1,tech,,,12.9,1.0,,,,,unknown_noun
tectonics,tectonics,0.08,Noun,9,9,3,tectonic,,,11.46,0.72,,,,,unknown_noun
teeing,teeing,0.16,Verb,6,4,2,tee,,,8.21,1.0,,,7.49,,contact
teems,teems,0.04,Verb,5,4,1,teem,,,13.33,0.67,,,11.63,,motion
teenagers,teenagers,4.22,Noun,9,7,3,teenager,,,7.22,1.0,,,,,unknown_noun
teeniest,teeniest,0.2,Adjective,8,7,3,teeny,,,5.42,1.0,,,,,quality
teensiest,teensiest,0.04,Adjective,9,8,3,teensy,,,7.12,0.89,,,,,adj_other
teenyboppers,teenyboppers,0.02,Noun,12,9,4,teenybopper,,,10.68,1.0,,,,,unknown_noun
teepees,tepees,0.1,Noun,7,5,2,teepee,,,5.89,1.0,,,,,unknown_noun
tees,tees,0.18,Noun,4,3,1,tee,,,8.21,1.0,,,7.49,,unknown_noun
teetering,teetering,0.14,Verb,9,6,3,teeter,,,7.25,0.84,,,,,motion
teeth,teeth,47.84,Noun,5,3,1,tooth,,,3.61,1.0,,4.31,3.5,,unknown_noun
teetotalers,teetotallers,0.04,Noun,11,9,4,teetotaler,,,13.57,0.74,,,,,unknown_noun
telecasts,telecasts,0.02,Noun,9,9,3,telecast,,,12.5,0.91,,,,,unknown_noun
telecommunications,telecommunications,0.51,Noun,18,17,7,telecommunication,,,14.44,1.0,,,,,unknown_noun
telegrams,telegrams,1.24,Noun,9,9,3,telegram,,,10.78,1.0,,,,,unknown_noun
telegraphed,telegraphed,0.35,Verb,11,9,3,telegraph,,,9.5,1.0,,8.66,,,communication
telegraphing,telegraphing,0.12,Verb,12,10,4,telegraph,,,9.5,1.0,,8.66,,,communication
telegraphs,telegraphs,0.08,Noun,10,9,3,telegraph,,,9.5,1.0,,8.66,,,unknown_noun
telemarketers,telemarketers,0.06,Noun,13,12,5,telemarketer,,,12.2,1.0,,,,,unknown_noun
telephoned,telephoned,2.14,Verb,10,8,3,telephone,,,4.63,1.0,7.6,,,,communication
telephones,telephones,1.31,Noun,10,8,3,telephone,,,4.63,1.0,7.6,,,,unknown_noun
telephoning,telephoning,0.43,Verb,11,9,4,telephone,,,4.63,1.0,7.6,,,,communication
teleported,teleported,0.2,Verb,10,10,4,teleport,,,8.84,1.0,,,,,motion
telescopes,telescopes,0.47,Noun,10,9,3,telescope,,,6.95,1.0,,,,,unknown_noun
telethons,telethons,0.04,Noun,9,8,3,telethon,,,11.67,0.95,,,,,unknown_noun
televangelists,televangelists,0.02,Noun,14,14,5,televangelist,,,11.67,0.83,,,,,unknown_noun
televising,televising,0.08,Verb,10,9,4,televise,,,10.29,1.0,,,,,communication
televisions,televisions,0.29,Noun,11,10,4,television,,,4.11,1.0,8.88,,,,unknown_noun
tellers,tellers,0.65,Noun,7,5,2,teller,,,9.9,1.0,,,,,unknown_noun
telling,telling,190.78,Verb,7,5,2,tell,,,4.26,1.0,4.86,,4.47,,communication
tells,tells,52.25,Verb,5,4,1,tell,,,4.26,1.0,4.86,,4.47,,communication
telltales,telltales,0.02,Noun,9,7,2,telltale,,,11.63,1.0,,,,,unknown_noun
temped,temped,0.06,Verb,6,5,1,temp,,,11.06,1.0,,,,,verb_other
