Word,Alternative.spelling,Freq_pm,Dom_PoS_SUBTLEX,Nletters,Nphon,Nsyll,Lemma_highest_PoS,AoA_Kup,Perc_known,AoA_Kup_lem,Perc_known_lem,AoA_Bird_lem,AoA_Bristol_lem,AoA_Cort_lem,AoA_Schock
blue,blue,102.39,Adjective,4,3,1,blue,3.53,1.00,3.53,1.00,4.17,,3.19,
moo,moo,2.08,Noun,3,2,1,moo,3.53,1.00,3.53,1.00,,,,
shirt,shirt,46.37,Noun,5,3,1,shirt,3.53,1.00,3.53,1.00,,5.50,3.74,
thanks,thanks,623.31,Noun,6,5,1,thanks,3.53,1.00,3.53,1.00,,,,
woof,woof,2.76,Verb,4,3,1,woof,3.53,1.00,3.53,1.00,,,,
kitty,kitty,26.71,Name,5,4,2,kitty,3.54,1.00,3.54,1.00,,,,3.57
toilet,toilet,28.90,Noun,6,5,2,toilet,3.54,1.00,3.54,1.00,,3.52,,3.78
good,good,2610.14,Adjective,4,3,1,good,3.55,1.00,3.55,1.00,3.89,,3.25,
mad,mad,113.41,Adjective,3,3,1,mad,3.55,1.00,3.55,1.00,,,3.54,
black,black,167.94,Adjective,5,4,1,black,3.56,1.00,3.56,1.00,4.19,,4.12,
bottle,bottle,50.75,Noun,6,5,2,bottle,3.56,1.00,3.56,1.00,,,,4.33
movie,movie,122.96,Noun,5,4,2,movie,3.56,1.00,3.56,1.00,,7.71,,4.91
need,need,1294.90,Verb,4,3,1,need,3.56,1.00,3.56,1.00,6.04,,4.38,
speak,speak,187.18,Verb,5,4,1,speak,3.56,1.00,3.56,1.00,4.93,,5.33,
she,she,3732.88,Pronoun,3,2,1,she,3.57,1.00,3.57,1.00,4.02,,3.24,
cup,cup,51.65,Noun,3,3,1,cup,3.57,1.00,3.57,1.00,,,3.45,
friend,friend,419.29,Noun,6,5,1,friend,3.57,1.00,3.57,1.00,4.58,,3.85,
tree,tree,65.00,Noun,4,3,1,tree,3.57,1.00,3.57,1.00,4.26,3.65,3.95,
outside,outside,170.02,Adverb,7,5,2,outside,3.58,1.00,3.58,1.00,4.83,,,
ten,ten,145.00,Number,3,3,1,ten,3.58,1.00,3.58,1.00,4.83,,3.65,
bear,bear,57.41,Noun,4,3,1,bear,3.58,1.00,3.58,1.00,4.36,,4.40,
bite,bite,40.78,Verb,4,3,1,bite,3.58,1.00,3.58,1.00,,4.47,4.47,
bread,bread,28.33,Noun,5,4,1,bread,3.58,1.00,3.58,1.00,,3.88,3.98,
coat,coat,42.08,Noun,4,3,1,coat,3.58,1.00,3.58,1.00,,4.14,4.43,
granddad,granddad,2.24,Noun,8,7,2,granddad,3.58,1.00,3.58,1.00,,,,
key,key,86.86,Noun,3,2,1,key,3.58,1.00,3.58,1.00,,,5.06,
mouth,mouth,104.41,Noun,5,3,1,mouth,3.58,1.00,3.58,1.00,,,,
reindeer,reindeer,3.37,Noun,8,6,2,reindeer,3.58,1.00,3.58,1.00,,,,4.69
suppertime,suppertime,0.61,Noun,10,7,3,suppertime,3.58,1.00,3.58,1.00,,,,
do,do,6135.59,Verb,2,2,1,do,3.60,1.00,3.60,1.00,8.11,,3.43,
purple,purple,12.33,Adjective,6,5,2,purple,3.60,1.00,3.60,1.00,6.20,,,4.14
rain,rain,48.90,Noun,4,3,1,rain,3.60,1.00,3.60,1.00,,4.41,4.09,
blanket,blanket,12.98,Noun,7,7,2,blanket,3.61,1.00,3.61,1.00,,4.41,,4.38
kiss,kiss,121.16,Verb,4,3,1,kiss,3.61,1.00,3.61,1.00,,3.79,3.91,
lunch,lunch,104.12,Noun,5,4,1,lunch,3.61,1.00,3.61,1.00,,5.62,4.32,
night,night,866.04,Noun,5,3,1,night,3.61,1.00,3.61,1.00,,4.62,3.52,
tooth,tooth,13.57,Noun,5,3,1,tooth,3.61,1.00,3.61,1.00,,4.31,3.50,
brother,brother,283.94,Noun,7,5,2,brother,3.63,1.00,3.63,1.00,,4.56,,3.91
cloud,cloud,11.75,Noun,5,4,1,cloud,3.63,1.00,3.63,1.00,,4.64,4.64,
ear,ear,32.00,Noun,3,2,1,ear,3.63,1.00,3.63,1.00,,,3.47,
fork,fork,8.82,Noun,4,4,1,fork,3.63,1.00,3.63,1.00,,4.67,4.01,
fruit,fruit,21.73,Noun,5,4,1,fruit,3.63,1.00,3.63,1.00,,4.56,4.36,
hungry,hungry,77.08,Adjective,6,6,2,hungry,3.63,1.00,3.63,1.00,,4.03,,3.74
kitten,kitten,4.73,Noun,6,5,2,kitten,3.64,1.00,3.64,1.00,4.26,4.56,,3.57
help,help,921.12,Verb,4,4,1,help,3.65,1.00,3.65,1.00,5.07,4.62,4.80,
peekaboo,peekaboo,1.12,Noun,8,6,3,peekaboo,3.65,1.00,3.65,1.00,,,,
boy,boy,529.82,Noun,3,2,1,boy,3.67,1.00,3.67,1.00,3.46,,3.05,
butterfly,butterfly,5.51,Noun,9,7,3,butterfly,3.67,1.00,3.67,1.00,,,,
circle,circle,21.51,Noun,6,5,2,circle,3.67,1.00,3.67,1.00,6.23,4.47,,4.97
fun,fun,235.49,Noun,3,3,1,fun,3.67,1.00,3.67,1.00,,,3.75,
grandmother,grandmother,27.78,Noun,11,9,3,grandmother,3.67,1.00,3.67,1.00,,4.35,,
pie,pie,28.75,Noun,3,2,1,pie,3.67,1.00,3.67,1.00,,,4.65,
splash,splash,4.22,Noun,6,5,1,splash,3.67,1.00,3.67,1.00,4.62,,5.06,
steps,steps,24.69,Noun,5,5,1,steps,3.67,1.00,3.67,1.00,,,,
book,book,176.98,Noun,4,3,1,book,3.68,1.00,3.68,1.00,3.75,4.47,4.53,
cat,cat,66.33,Noun,3,3,1,cat,3.68,1.00,3.68,1.00,,,2.78,
doggy,doggy,4.41,Noun,5,4,2,doggy,3.68,1.00,3.68,1.00,,,,
doll,doll,24.76,Noun,4,3,1,doll,3.68,1.00,3.68,1.00,,3.46,3.82,
kitchen,kitchen,58.31,Noun,7,5,2,kitchen,3.68,1.00,3.68,1.00,4.55,,,4.38
lady,lady,217.08,Noun,4,4,2,lady,3.68,1.00,3.68,1.00,,4.79,,4.91
name,name,641.86,Noun,4,3,1,name,3.68,1.00,3.68,1.00,4.71,,3.43,
red,red,148.06,Adjective,3,3,1,red,3.68,1.00,3.68,1.00,4.26,,2.86,
sister,sister,180.53,Noun,6,5,2,sister,3.68,1.00,3.68,1.00,4.19,,,3.65
talk,talk,855.00,Verb,4,3,1,talk,3.68,1.00,3.68,1.00,4.30,,4.14,
firetruck,fire truck,0.06,0.06,9,7,3,firetruck,3.69,1.00,3.69,1.00,,,,
his,his,2124.78,Pronoun,3,3,1,his,3.69,1.00,3.69,1.00,4.17,,4.12,
in,in,9773.41,Preposition,2,2,1,in,3.69,1.00,3.69,1.00,4.15,,3.43,
like,like,3998.96,Preposition,4,3,1,like,3.69,1.00,3.69,1.00,4.77,,4.12,
three,three,542.24,Number,5,3,1,three,3.69,0.95,3.69,0.95,3.80,,3.05,
tail,tail,23.90,Noun,4,3,1,tail,3.70,1.00,3.70,1.00,,4.39,4.93,
clown,clown,15.82,Noun,5,4,1,clown,3.72,1.00,3.72,1.00,,,3.91,
have,have,6161.41,Verb,4,3,1,have,3.72,1.00,3.72,1.00,4.83,,4.29,
nighttime,night-time,2.06,Noun,9,6,2,nighttime,3.72,1.00,3.72,1.00,,,,
old,old,608.94,Adjective,3,3,1,old,3.72,1.00,3.72,1.00,4.93,,4.18,
put,put,828.45,Verb,3,3,1,put,3.72,1.00,3.72,1.00,4.87,,4.80,
rice,rice,15.08,Noun,4,3,1,rice,3.72,1.00,3.72,1.00,,5.48,4.99,
sound,sound,143.39,Verb,5,4,1,sound,3.72,1.00,3.72,1.00,4.87,6.09,5.33,
tummy,tummy,3.47,Noun,5,4,2,tummy,3.72,1.00,3.72,1.00,,,,4.05
twirl,twirl,1.31,Verb,5,4,1,twirl,3.72,1.00,3.72,1.00,,,6.06,
yogurt,yoghurt,2.27,Noun,6,5,2,yogurt,3.72,1.00,3.72,1.00,,,,5.81
butt,butt,38.57,Noun,4,3,1,butt,3.73,1.00,3.73,1.00,,9.22,4.73,
arms,arms,59.80,Noun,4,4,1,arms,3.74,1.00,3.74,1.00,,,,
fast,fast,137.45,Adverb,4,4,1,fast,3.74,0.95,3.74,0.95,4.90,,4.57,
here,here,4525.25,Adverb,4,3,1,here,3.74,1.00,3.74,1.00,4.27,,4.05,
couch,couch,23.47,Noun,5,3,1,couch,3.74,1.00,3.74,1.00,,6.28,4.92,
dark,dark,88.61,Adjective,4,4,1,dark,3.74,1.00,3.74,1.00,,,3.95,
eye,eye,111.78,Noun,3,1,1,eye,3.75,1.00,3.75,1.00,4.14,3.58,3.33,
face,face,289.16,Noun,4,3,1,face,3.75,1.00,3.75,1.00,3.80,3.56,3.91,
lie,lie,120.25,Verb,3,2,1,lie,3.75,1.00,3.75,1.00,5.33,5.15,4.73,
zoo,zoo,13.65,Noun,3,2,1,zoo,3.75,1.00,3.75,1.00,,,3.56,
hello,hello,585.43,Interjection,5,4,2,hello,3.76,1.00,3.76,1.00,,,,3.41
banana,banana,10.73,Noun,6,6,3,banana,3.78,1.00,3.78,1.00,3.99,,,
bellybutton,bellybutton,0.65,Noun,11,9,4,bellybutton,3.78,1.00,3.78,1.00,,,,
brush,brush,14.16,Verb,5,4,1,brush,3.78,1.00,3.78,1.00,4.06,4.47,4.86,
popsicle,popsicle,1.61,Noun,8,8,3,popsicle,3.78,1.00,3.78,1.00,,,,
son,son,410.76,Noun,3,3,1,son,3.78,1.00,3.78,1.00,4.77,,4.40,
boo,boo,11.69,Interjection,3,2,1,boo,3.78,1.00,3.78,1.00,6.01,,,
more,more,1298.59,Determiner,4,3,1,more,3.78,0.95,3.78,0.95,4.47,,,
bubble,bubble,8.00,Noun,6,5,2,bubble,3.79,1.00,3.79,1.00,,5.56,,4.64
bug,bug,20.94,Noun,3,3,1,bug,3.79,1.00,3.79,1.00,7.01,,3.69,
green,green,72.47,Adjective,5,4,1,green,3.79,1.00,3.79,1.00,,4.67,3.31,
highchair,highchair,0.16,Noun,9,5,3,highchair,3.79,1.00,3.79,1.00,,,,
laugh,laugh,62.86,Verb,5,3,1,laugh,3.79,1.00,3.79,1.00,4.50,,4.01,
lip,lip,10.75,Noun,3,3,1,lip,3.79,1.00,3.79,1.00,,,4.02,
scared,scared,133.39,Adjective,6,5,1,scared,3.79,1.00,3.79,1.00,,,,
thank,thank,1115.24,Verb,5,4,1,thank,3.79,1.00,3.79,1.00,5.41,,4.45,
truck,truck,72.86,Noun,5,4,1,truck,3.79,1.00,3.79,1.00,,5.35,4.21,
wall,wall,70.69,Noun,4,3,1,wall,3.79,1.00,3.79,1.00,,,4.93,
wish,wish,235.12,Verb,4,3,1,wish,3.79,1.00,3.79,1.00,4.93,,5.06,
aunt,aunt,55.20,Noun,4,3,1,aunt,3.80,1.00,3.80,1.00,,4.82,3.78,
hear,hear,555.35,Verb,4,3,1,hear,3.80,1.00,3.80,1.00,4.83,,4.52,
