"downloaded","language","form","form_type","data_id","child_id","age","measure","vocab","n","first_administration","monolingual","typically_developing"
2023-11-30,"English (American)","WG","WG",195494,83773,8,"comprehension",29,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",195518,83785,8,"comprehension",82,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",195604,4945,8,"comprehension",221,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",195634,4960,8,"comprehension",40,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",195638,4962,8,"comprehension",64,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",133819,30724,9,"comprehension",0,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",133823,30728,9,"comprehension",10,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",133826,30731,9,"comprehension",12,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",133827,30732,9,"comprehension",27,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",133829,30734,9,"comprehension",24,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",133830,30735,9,"comprehension",3,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",133831,30736,9,"comprehension",5,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",135757,5020,9,"comprehension",144,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",135777,5039,9,"comprehension",81,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",135788,5050,9,"comprehension",15,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",193365,82604,9,"comprehension",127,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",193424,82663,9,"comprehension",394,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",193430,82669,9,"comprehension",4,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",193435,82674,9,"comprehension",5,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",193438,82677,9,"comprehension",42,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",193443,82682,9,"comprehension",16,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",193460,82699,9,"comprehension",76,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",193469,82708,9,"comprehension",396,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",193485,82724,9,"comprehension",2,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",193491,82730,9,"comprehension",91,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",193512,82751,9,"comprehension",256,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",193544,82783,9,"comprehension",34,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",193558,82797,9,"comprehension",38,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",193613,82825,9,"comprehension",21,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",193621,82829,9,"comprehension",46,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",193633,82835,9,"comprehension",11,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",193653,82845,9,"comprehension",393,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",193669,82853,9,"comprehension",12,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",193671,82854,9,"comprehension",6,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",193675,82856,9,"comprehension",9,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",193722,82880,9,"comprehension",9,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",193738,82888,9,"comprehension",173,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",193774,82906,9,"comprehension",396,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",193806,4053,9,"comprehension",10,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",193833,82936,9,"comprehension",21,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",193843,82941,9,"comprehension",4,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",193863,82951,9,"comprehension",6,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",193869,82954,9,"comprehension",110,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",193870,4085,9,"comprehension",16,3676,TRUE,TRUE,TRUE
